product_id,imt_id,name,brand,price,price_no_discount,discount_pct,rating,reviews_count,subject_id,supplier_rating,sizes,colors,category_query,page,collected_at,description,composition,color,gender,country,care,ai_summary,reviews_text
248212347,569834228,RUMIA Лонгслив водолазка в рубчик тонкая с длинным рукавом,RUMIA,758.0,2999.0,75,4.8,35825,153,4.8,"42-46, 48-50, 52-54",белый,водолазка женская,1,2026-06-13T22:13:02.244611,"Этот женский лонгслив pinterest станет отличным дополнением гардероба. Водолазка с длинными рукавами прекрасно облегает фигуру и подчеркивает линии тела. Трикотажный материал обеспечивает комфорт и мягкость при носке свитера, что делает эту кофту идеальной для ежедневного использования.
Благодаря использованию вискозы и хлопка, кофта женская отличается эластичностью, что позволяет ей сохранять форму после многочисленных стирок. Стильный дизайн и базовый белый цвет делают его подходящим для различных образов, будь то повседневные или более формальные.
Высокий воротник-стойка защищает шею от прохладного ветра весной и осенью, а тонкий трикотаж способствует хорошей вентиляции в летний период.
Водолазка женская пинтерест идеально подходит для женщин разных возрастов и комплекций благодаря универсальному крою, а удлиненная модель выглядит стильно.
Этот лонгслив будет незаменимым в холодные дни благодаря своим теплым свойствам. Мягкий трикотаж женской кофты не вызывает раздражений на коже, что особенно важно для девочек и подростков для школы. Обтягивающий крой подчёркивает женственность и изящность силуэта. Благодаря большому размерному ряду подойдет для будущих мам.
Хлопковый состав придает кофточке особую гладкость и прочность, что делает каждое прикосновение приятным. Бадлон имеет классический фасон, что отлично сочетается с трендовыми элементами женской одежды этого сезона.
Таким образом, этот демисезонный бадлон является надежным выбором как весной, так осенью.",вискоза; хлопок; полиэстер; эластан,белый,Женский,Киргизия,,,
241992442,217487243,ALACREA Водолазка с коротким рукавом американка в рубчик,ALACREA,1120.0,10600.0,89,4.9,4333,153,4.9,"42-46, 48-50, 52-54",белый,водолазка женская,1,2026-06-13T22:13:02.244611,"Тонкая водолазка с горлом — безупречный выбор для женщин, которые ценят комфорт и современность в любой ситуации. Аккуратный короткий рукав добавляет практичности и легкости силуэту. Удобная модель для девушек выполнена из приятного трикотажного материала лапша, который красиво ложится по фигуре. Стильная стойка создает красивую горловину, гармонично завершая образ и подчёркивая элегантность. Многофункциональный гольф отлично подойдет для базового гардероба, а также станет классической основой повседневных и трендовых сочетаний. Интересный бадлон-американка с воротом — настоящий must-have в стиле casual (кэжуал) для тех, кто выбирает модные решения.",вискоза 50%; полиэстер 28%; нейлон 22%,белый,Женский,Россия,стирка при t не более 30°C; деликатный отжим; гладить с изнанки,,
245108642,569834228,RUMIA Лонгслив водолазка с длинным рукавом в рубчик,RUMIA,887.0,3120.0,72,4.8,35825,153,4.8,42-46,черный,водолазка женская,1,2026-06-13T22:13:02.244611,"Водолазка женская с длинными рукавами прекрасно облегает фигуру и подчеркивает линии тела. Трикотажный материал обеспечивает комфорт и мягкость при носке, что делает эту кофту идеальной для ежедневного использования.
Водолазка для женщин, благодаря использованию лайкры и хлопка, изделие отличается эластичностью, что позволяет ему сохранять форму после многочисленных стирок. Стильный дизайн и базовый черный цвет делают его подходящим для различных образов, будь то повседневные или более формальные.
Высокий воротник-стойка защищает шею от прохладного ветра весной и осенью, а тонкий трикотаж способствует хорошей вентиляции в летний период. 
Подходит для женщин разных возрастов и комплекций благодаря универсальному крою водолазки, а удлиненная модель выглядит стильно.
Лонгслив pinterest будет незаменимым в холодные дни благодаря своим теплым свойствам. Мягкий трикотаж не вызывает раздражений на коже, что особенно важно для подростков. Обтягивающий крой подчёркивает женственность и изящность силуэта.
Хлопковый состав придает водолазке пинтерест особую гладкость и прочность, что делает каждое прикосновение приятным. Бадлон имеет классический фасон, что отлично сочетается с трендовыми элементами одежды этого сезона.",вискоза; хлопок; полиэстер; эластан,черный,Женский,Киргизия,деликатная стирка; Бережная стирка,,"Приветствуем вас, Гурленя! Спасибо за высокую оценку водолазки нашего бренда и за то, что нашли время оставить отзыв. Нам очень приятно, что вам понравилась наша водолазка. Подписывайтесь на наш магазин, чтобы не пропустить новинки! Желаем хорошего дня и отличного настроения, ваш бренд Сторгуемся 🌹
ещё ||| Сердечно вас приветствуем, Гурленя! Благодарим за отзыв. Мы рады, что вы остались довольны покупкой. Нам очень приятно, что вам понравилась наша водолазка. Загляните на страничку нашего бренда! У нас большой ассортимент женских, детских, а так же мужских товаров. Сейчас в наличии отличные женские пижамы Арт. 262077048, Арт. 273068812, Арт. 273081577, Арт. 263522443. Благодарим за доверие к бренду и желаем вам замечательного настроения!
ещё ||| Очень приятный на ощупь гольфик. Рекомендую! ||| Достоинства:Хорошие водолазки,брала ещё и зелёную."
232995547,153698553,Happyfox Водолазка в рубчик с коротким рукавом,Happyfox,335.0,862.0,61,4.8,190,153,4.9,"42, 44",зеленый,водолазка женская,1,2026-06-13T22:13:02.244611,"Женская водолазка в нежном ментоловом оттенке создана, чтобы подчеркивать изящный силуэт. Её облегающий крой идеально садится по фигуре. Короткий рукав и воротник-стойка делают эту трикотажную модель свежей и современной альтернативой футболке.

Преимущества:

— фасон в обтяжку выгодно подчеркивающий формы;

— приятная хлопковая ткань в рубчик с добавлением лайкры для идеальной посадки;

— плотный трикотаж кашкорсе не теряет форму (плотность 260 г/м2);

— универсальный воротник стойка, добавляющий образу изюминку.

Голубая водолазка для женщин — базовая основа для создания многих стильных и кокетливых образов.",хлопок 95%; лайкра 5%; кашкорсе,зеленый; мятный,Женский,Россия,стирка при t не более 30°C; деликатная стирка; гладить на низкой температуре,,
165875942,159658220,EARLY BEW Кашемировая водолазка с горлом тонкая,EARLY BEW,1500.0,14200.0,89,4.8,82167,153,4.8,"42-46, 52-54, 48-50, 56-58",коричневый,водолазка женская,1,2026-06-13T22:13:02.244611,"Эта стильная водолазка — незаменимый элемент вашего образа. Выполненная из тонкого кашемира с добавлением хлопка, дарит непревзойденное ощущение тепла. Однотонный цвет делает её универсальной, формируя модный и элегантный вид. Высокая горловина эффективно защищает от холода, а длинные рукава дополняют атмосферу уюта. Бадлон изготовлен из гладкого трикотажного материала, благодаря чему создает облегающий силуэт, подчеркивая достоинства фигуры и обеспечивая свободу движений. Продуманный крой гольфа гарантирует комфортную посадку, оставаясь базовым выбором для современных девушек и женщин. Такая водолазка станет вашим верным дополнением, привносящим нежность и изысканность в каждый день.",кашемир 48%; шерсть 29%; хлопок 18%; Эластан 5%,шоколадный; коричневый,Женский,,стирка при t не более 30℃; деликатный отжим; не замачивать,,
243208174,218546967,POLINAREPIK Водолазка классическая,POLINAREPIK,1580.0,3950.0,60,4.6,13,153,4.6,"42, 46, 48, 50",бежевый,водолазка женская,1,2026-06-13T22:13:02.244611,"Водолазка выполнена из смесового материала, который приятно ощущается на коже. Эта модель классическая, с длинным рукавом, высокой горловиной и в длине до середины бедра. Водолазка представлена сразу в 4-х цветах: черный, белый, бежевый и коричневый.","34% вискоза, 30% акрил, 30% хлопок, 6% спандекс",бежевый,Женский,Россия,деликатная стирка,"Покупатели замечают, что водолазка теплая, плотная, хорошо сшита, удобная и имеет приятную ткань. Однако, некоторые покупатели отмечают, что горлышко может давить на шею, а также есть случаи, когда цвет не соответствовал ожиданиям и водолазка оказалась велика по размеру.","Здравствуйте! Благодарим за отзыв. Сожалеем, что модель не подошла. Будем рады, если вы найдёте среди нашего ассортимента что‑то более подходящее.
ещё ||| Здравствуйте. Спасибо, что нашли время и оставили отзыв, носите с удовольствием. Приятных покупок. ||| Недостатки:Вешь этих денег не стоит (( ||| Здравствуйте! Благодарим за отзыв. Сожалеем, что модель не подошла. Будем рады, если вы найдёте среди нашего ассортимента что‑то более подходящее.
ещё ||| Достоинства:Спасибо."
532356394,203432312,ТЫСЯЧА СТОЛИЦ Водолазка с горлом в рубчик,ТЫСЯЧА СТОЛИЦ,307.0,1896.0,84,4.9,8383,153,4.8,"40, 42, 44",белый,водолазка женская,1,2026-06-13T22:13:02.244611,"Лонгслив-водолазка облегающего кроя о станет стильным и комфортным дополнением вашего гардероба. Изготовленная из мягкой ткани, она прекрасно облегает фигуру, подчеркивая ее достоинства. Благодаря длинным рукавам и плотной вязке, эта модель обеспечит вам тепло и уют в прохладную погоду. Лонгслив-водолазка идеально подходит для повседневной носки, офиса или вечерних выходов. Ее лаконичный дизайн и элегантный белый цвет легко сочетаются с различными стилями одежды, позволяя создавать как повседневные, так и более деловые образы.","полиэстер, эластан",белый,Женский,Китай,стирка при t не более 30°C; деликатная стирка,,
663482017,679280833,Водолазка лапша с горлом и длинным рукавом,,570.0,3000.0,81,4.8,37,153,4.8,"42, 44, 46, 48, 50, 52, 54, 56, 58, 60",черный,водолазка женская,1,2026-06-13T22:13:02.244611,"Женская водолазка с высоким горлом и длинным рукавом — это теплая, стильная и лаконичная современная одежда.
Эта базовая обтягивающая водолазка, похожая на лонгслив с небольшим горлом, выполнена из ткани в рубчик и является идеальным элементом гардероба для женщин и девушек, особенно в прохладное время года.
Изделие сшито из мягкой эластичной рубчиковой ткани, хорошо садится по фигуре, стройнит, подчеркивает достоинства и скрывает недостатки, не теряет форму после стирки и подходит для беременных.
Водолазка подходит девушкам и женщинам с любой фигурой — от стройных до пышных форм. Это базовая универсальная вещь на осень и зиму, подходит для повседневного стиля, делового образа, а также как элемент школьной формы.
Эта мягкая кашемировая водолазка представлена в разных цветах; классические черный и белый легко сочетаются с пиджаком или сарафаном.
Водолазку просто комбинировать с другой одеждой: для офиса, прогулок вы сможете создавать элегантные и яркие образы.
Теплая водолазка с горлом — универсальная вещь на все сезоны, долговечный комфорт и практичность. Все эти преимущества собраны в нашей водолазке.",95% полиэстер 5% спандекс,черный,Женский,Киргизия,деликатная стирка,,
495213911,502653374,ВИТА Компани Водолазка с горлом и длинными рукавами теплая в рубчик,ВИТА Компани,787.0,3890.0,80,4.8,128,153,4.8,"46, 48, 50, 52, 54, 56, 44",черный,водолазка женская,1,2026-06-13T22:13:02.244611,"Женская водолазка с длинным рукавом в рубчик представляет собой базовую и стильную кофточку, которая прекрасно впишется в повседневный осенний и зимний гардероб. Выполненная из мягкого трикотажного материала кашкорсе с хлопком, она обеспечивает тепло и комфорт, что особенно актуально для холодного времени года. Модель с воротником-лапша отличается облегающим кроем, подходящим для разных образов – от офисного до вечернего.

Водолазка из турецкого трикотажа с эластаном легко сочетается с различной одеждой, становясь основой модного лука. Благодаря универсальным цветам и популярному стильному дизайну, эта кофта служит надежным элементом гардероба для девушек и женщин разных размеров, включая категории оверсайз и облегающую посадку. Лонгслив с низким воротником гольфиком так-же подходит для школьников, подростков и тех, кто ищет комфорт и функциональность в одном предмете одежды.

Эта модель – отличное решение для теплых и легких образов в прохладную погоду. Водолазка из рубчика отлично держит форму, хорошо тянется и не деформируется после стирки. Она представляет собой не просто одежду, а стильный выбор для жены, девушки или самой женщины, ценящей качество и удобство. Изделие актуально как для повседневной носки под пиджак, так и для нарядного выхода, создавая красивый и аккуратный образ.

Модель продается в разных размерах, что позволяет подобрать оптимальный вариант для женщин с разными параметрами фигуры. Ткань высокого качества из Турции делает эту кофточку не только теплой и практичной, но и долговечной. Ее тонкая трикотажная структура помогает регулировать температуру тела, что важно для переходных сезонов осени и зимы. Незаменимая вещь для создания стильного базового гардероба в духе minimalism и casual.

Эта женская водолазка – популярное решение для тех, кто ищет универсальную одежду с удобным длинным рукавом. Она подходит для офиса, прогулок и учебы, превращая каждый образ в продуманный и модный.",Хлопок 98%; Эластан 2%; кашкорсе,черный,Женский,Россия,стирка при t не более 30°C,,
165796109,159658220,EARLY BEW Кашемировая водолазка с горлом тонкая,EARLY BEW,1458.0,13800.0,89,4.8,82167,153,4.8,"42-46, 48-50, 52-54, 56-58","серый, бежевый",водолазка женская,1,2026-06-13T22:13:02.244611,,,,,,,,
